Rango;Jugador;Índice defensa;Volumen defensivo;Duelos;Juego aéreo;Salida balón;Fiabilidad
1;Antonee Robinson;0.8268564872757613;0.834793491864831;0.6877346683354193;0.523153942428035;0.7501042970379642;0.9111389236545682
2;Noussair Mazraoui;0.8073216520650812;0.8239465999165624;0.7090112640801001;0.4724655819774718;0.5636211931581143;0.9123904881101376
3;Wesley Fofana;0.8008552357113059;0.8973717146433042;0.8016270337922403;0.5550688360450563;0.7747183979974969;0.7918231122236129
4;Max Alleyne;0.7903003754693366;0.6287025448477264;0.5682102628285357;0.5844806007509387;0.5073007926574885;0.9987484355444304
5;Ola Aina;0.7828535669586983;0.9415936587400918;0.4599499374217772;0.5200250312891114;0.4793491864831039;0.9032123487692948
6;Lucas Pires;0.7810075093867335;0.8523153942428036;0.5419274092615769;0.367334167709637;0.7242386316228618;0.8769294952023362
7;Malo Gusto;0.7759803921568628;0.869837296620776;0.6220275344180225;0.4712140175219024;0.6295369211514393;0.8443888193575302
8;Hugo Bueno;0.7740717563621193;0.7851481017939091;0.7734668335419275;0.4818523153942428;0.9728827701293282;0.7592824363788068
9;Zach Abbott;0.7696287025448476;0.7367542761785565;0.6070087609511889;0.6120150187734669;0.2398831873174801;0.9532749269920734
10;Ian Maatsen;0.7682624113475178;0.6770963704630789;0.9036295369211514;0.4974968710888611;0.800584063412599;0.7847309136420525
11;Abdukodir Khusanov;0.7658740091781393;0.8506466416353776;0.399874843554443;0.3948685857321652;0.6107634543178974;0.9098873591989988
12;James Justin;0.7621818940342093;0.6629119732999583;0.5801001251564456;0.5062578222778473;0.5148101793909053;0.931581143095536
13;Joël Veltman;0.7607217355027118;0.7659574468085107;0.6245306633291614;0.5732165206508135;0.5569461827284105;0.8589904046725073
14;Murillo;0.759511889862328;0.8226950354609929;0.5738423028785983;0.5025031289111389;0.7596996245306634;0.8156028368794326
15;Valentino Livramento;0.7594701710471423;0.6708385481852316;0.5569461827284105;0.4155193992490613;0.5540258656654151;0.9311639549436797
16;Lisandro Martínez;0.7574259491030455;0.6086775135586149;0.5594493116395495;0.5732165206508135;0.77555277430121;0.8911138923654568
17;Ethan Ampadu;0.7564455569461827;0.8769294952023362;0.8003754693366709;0.5600750938673341;0.823529411764706;0.701293283270755
18;Nathan Patterson;0.7551627033792241;0.6195244055068837;0.5851063829787234;0.6070087609511889;0.3733833959115561;0.9516061743846476
19;Chadi Riad;0.7528368794326241;0.855235711305799;0.1852315394242803;0.5068836045056321;0.2928660826032541;0.9987484355444304
20;Jarrad Branthwaite;0.7524301209845641;0.6324572382144348;0.4536921151439299;0.609511889862328;0.4367959949937421;0.967459324155194
