Rango;Jugador;Índice delantero;Finalización;Creación ocasiones;Amenaza;Sin balón;Eficiencia
1;Hugo Ekitiké;0.6916541353383459;0.7736842105263158;0.6781954887218046;0.8875939849624059;0.5033834586466165;0.2225563909774436
2;Erling Haaland;0.6828383458646616;0.7650375939849623;0.6477443609022557;0.8552631578947368;0.3537593984962406;0.3210526315789473
3;Mateus Mané;0.6697744360902256;0.6650375939849624;0.6988721804511278;0.7687969924812029;0.6593984962406015;0.4917293233082707
4;João Pedro;0.6627067669172932;0.7503759398496241;0.7240601503759398;0.7578947368421053;0.8270676691729323;0.1541353383458646
5;Igor Thiago;0.6481954887218045;0.762406015037594;0.4763157894736842;0.9150375939849624;0.5548872180451128;0.1018796992481203
6;Florian Wirtz;0.6478007518796992;0.5819548872180451;0.7560150375939849;0.9428571428571428;0.5804511278195489;0.2458646616541353
7;Matheus Cunha;0.6375000000000001;0.5439849624060151;0.7007518796992481;0.9669172932330828;0.6402255639097745;0.2736842105263158
8;Richarlison;0.6327443609022555;0.6781954887218045;0.6718045112781956;0.7883458646616541;0.5142857142857142;0.2526315789473684
9;Leandro Trossard;0.6326879699248121;0.5582706766917293;0.8022556390977444;0.8296992481203009;0.6342105263157893;0.3327067669172932
10;Amad Diallo;0.6129135338345865;0.4120300751879699;0.76203007518797;0.9187969924812032;0.8830827067669172;0.399624060150376
11;Eli Junior Kroupi;0.6119736842105263;0.8240601503759398;0.2785714285714286;0.6409774436090225;0.43796992481203;0.3894736842105263
12;Bukayo Saka;0.6097180451127819;0.4338345864661654;0.8139097744360904;0.9590225563909774;0.7447368421052631;0.2473684210526316
13;Federico Chiesa;0.6067105263157895;0.6481203007518797;0.7578947368421053;0.5342105263157895;0.530451127819549;0.4913533834586466
14;Eberechi Eze;0.6043984962406015;0.631203007518797;0.6582706766917293;0.5834586466165413;0.5334586466165414;0.5375939849624061
15;Rio Ngumoha;0.6009210526315789;0.7691729323308272;0.3872180451127819;0.4022556390977444;0.3654135338345864;0.775563909774436
16;Dango Ouattara;0.5959398496240602;0.5842105263157895;0.6090225563909775;0.8075187969924812;0.8165413533834587;0.18796992481203
17;Anthony Gordon;0.5922932330827069;0.4345864661654134;0.7345864661654135;0.917669172932331;0.6172932330827068;0.3199248120300751
18;Ismaïla Sarr;0.5810902255639098;0.5011278195488721;0.5902255639097744;0.8082706766917294;0.4778195488721805;0.4409774436090226
19;Amine Adli;0.5780827067669174;0.5718045112781955;0.6631578947368422;0.5969924812030076;0.7406015037593985;0.4240601503759398
20;Dominic Calvert-Lewin;0.5632142857142858;0.7071428571428571;0.5469924812030076;0.5680451127819548;0.6759398496240602;0.15
