Rango;Jugador;Índice portero;Paradas;Fiabilidad;Control área;Salidas;Creación
1;Robert Sánchez;0.7686582809224319;0.6016771488469602;0.7882599580712789;0.8155136268343816;0.9245283018867924;0.7861635220125787
2;Jordan Pickford;0.7625262054507338;0.589098532494759;0.7169811320754716;0.7924528301886792;0.9716981132075472;0.9213836477987422
3;Martin Dúbravka;0.7414046121593292;0.4884696016771488;0.8050314465408807;0.9035639412997902;0.7484276729559749;0.7987421383647799
4;Dean Henderson;0.7222222222222223;0.5555555555555556;0.7882599580712789;0.8909853249475891;0.6855345911949685;0.6069182389937107
5;Guglielmo Vicario;0.7099056603773585;0.4947589098532495;0.5115303983228512;0.9182389937106916;0.9276729559748428;0.8962264150943396
6;Robin Roefs;0.6925576519916143;0.5828092243186583;0.59958071278826;0.9727463312368974;0.5157232704402516;0.7641509433962264
7;Senne Lammens;0.6730083857442347;0.4150943396226415;0.9937106918238992;0.7882599580712789;0.4622641509433962;0.5440251572327044
8;David Raya;0.6694968553459119;0.2096436058700209;0.7882599580712789;0.7693920335429768;0.9685534591194968;0.8238993710691824
9;Caoimhin Kelleher;0.665041928721174;0.3333333333333333;0.59958071278826;0.9077568134171908;0.7327044025157232;0.949685534591195
10;Nick Pope;0.6102201257861635;0.3081761006289308;0.5115303983228512;0.8343815513626834;0.9528301886792452;0.5377358490566038
11;Matz Sels;0.6083857442348009;0.3375262054507337;0.7169811320754716;0.7714884696016773;0.6855345911949685;0.490566037735849
12;Bernd Leno;0.6039832285115304;0.3018867924528302;0.6981132075471699;0.6561844863731656;0.6855345911949685;0.871069182389937
13;Alisson;0.589203354297694;0.1823899371069182;0.6729559748427674;0.8511530398322851;0.6037735849056604;0.720125786163522
14;José Sá;0.5887840670859539;0.1278825995807127;0.9937106918238992;0.8511530398322851;0.3584905660377359;0.4182389937106918
15;Bart Verbruggen;0.5819706498951782;0.5303983228511531;0.2767295597484276;0.7798742138364779;0.5849056603773585;0.9748427672955976
16;Gianluigi Donnarumma;0.5781970649895178;0.4654088050314466;0.5094339622641509;0.4612159329140461;0.8364779874213837;0.9371069182389936
17;Emiliano Martínez;0.5655136268343816;0.5639412997903565;0.3773584905660377;0.5660377358490566;0.7672955974842768;0.7358490566037736
18;Lucas Perri;0.54979035639413;0.2536687631027254;0.9937106918238992;0.6813417190775682;0.1886792452830188;0.3930817610062893
19;Marco Bizot;0.5254716981132075;0.2557651991614256;0.8050314465408807;0.5618448637316562;0.6037735849056604;0.2924528301886792
20;Alphonse Aréola;0.5083857442348009;0.4192872117400419;0.5115303983228512;0.9077568134171908;0.0062893081761006;0.4779874213836478
