Rango;Jugador;Índice centrocampista;Distribución balón;Progressión;Creación ocasiones;Balance defensivo;Retención balón
1;Declan Rice;0.8474242424242423;0.9632996632996632;0.965993265993266;0.9084175084175083;0.6691919191919191;0.203030303030303
2;Rayan Cherki;0.829949494949495;0.8797979797979799;0.9895622895622896;0.9787878787878788;0.7419191919191919;0.1016835016835016
3;Bruno Fernandes;0.8281986531986532;0.934006734006734;0.839057239057239;0.9707070707070709;0.7681818181818181;0.1582491582491582
4;Curtis Jones;0.827962962962963;0.9484848484848484;0.9424242424242424;0.7171717171717171;0.8792929292929292;0.2872053872053872
5;Dominik Szoboszlai;0.8087373737373739;0.939057239057239;0.9643097643097645;0.7494949494949495;0.6681818181818182;0.2353535353535353
6;Vitaly Janelt;0.7943771043771043;0.8784511784511784;0.7902356902356903;0.7653198653198653;0.8505050505050504;0.4683501683501683
7;Elliot Anderson;0.7708754208754209;0.9686868686868688;0.8848484848484849;0.5390572390572391;0.9646464646464646;0.0215488215488215
8;Adam Wharton;0.7690404040404041;0.8185185185185185;0.8606060606060607;0.8158249158249159;0.8217171717171716;0.2417508417508418
9;James Garner;0.7683838383838384;0.8932659932659931;0.8531986531986532;0.6757575757575758;0.7737373737373738;0.2791245791245791
10;Enzo Fernández;0.7616161616161615;0.9383838383838384;0.912121212121212;0.8053872053872054;0.3666666666666667;0.0609427609427609
11;Bruno Guimarães;0.7522558922558924;0.9131313131313132;0.8831649831649832;0.7306397306397306;0.595959595959596;0.0464646464646464
12;Youri Tielemans;0.7508922558922559;0.8188552188552188;0.8703703703703703;0.7902356902356903;0.5712121212121213;0.3410774410774411
13;Mikkel Damsgaard;0.7498484848484849;0.7313131313131312;0.9168350168350168;0.9131313131313132;0.8318181818181818;0.0814814814814814
14;Ryan Gravenberch;0.7454377104377105;0.9222222222222222;0.9824915824915824;0.4841750841750841;0.6237373737373737;0.2084175084175084
15;Rodri;0.7430976430976433;0.757912457912458;0.730976430976431;0.6612794612794612;0.9373737373737374;0.6774410774410775
16;Bernardo Silva;0.7422558922558923;0.869023569023569;0.9861952861952862;0.6390572390572391;0.4949494949494949;0.201010101010101
17;Lewis Miley;0.7384848484848485;0.8127946127946127;0.8966329966329966;0.6289562289562288;0.6181818181818182;0.4643097643097643
18;Granit Xhaka;0.736919191919192;0.9043771043771044;0.7915824915824916;0.6222222222222222;0.6045454545454545;0.3195286195286195
19;Mateus Fernandes;0.7332828282828282;0.8471380471380471;0.9343434343434344;0.5427609427609427;0.8005050505050505;0.1895622895622895
20;Jérémy Doku;0.7323400673400674;0.7457912457912458;0.975757575757576;0.968013468013468;0.4247474747474747;0.0279461279461279
