Pos;Equipo;Partidos;Victorias;Empates;Derrotas;Puntos;Goles favor;Goles contra;Diferencia goles;xG favor;xG contra;Diferencia xG
1;Arsenal;24;15;6;3;51;43;15;28;45.064099999999996;42.9346;2.129499999999993
2;Manchester City;24;14;5;5;47;49;23;26;48.7064;53.7216;-5.0152
3;Aston Villa;25;14;5;6;47;35;26;9;53.9805;49.1781;4.802399999999999
4;Chelsea;25;12;7;6;43;43;27;16;60.3079;58.454;1.8538999999999959
5;Manchester United;24;12;7;5;43;45;35;10;53.8809;57.3553;-3.474400000000003
6;Liverpool;24;11;6;7;39;39;33;6;47.2894;44.4611;2.8282999999999987
7;Brentford;25;12;3;10;39;39;34;5;53.430800000000005;58.2132;-4.7823999999999955
8;Sunderland;25;9;10;6;37;27;26;1;41.2111;42.7779;-1.5668000000000006
9;Fulham;25;11;4;10;37;35;35;0;48.4717;45.6488;2.822899999999997
10;Bournemouth;24;8;10;6;34;38;40;-2;57.352000000000004;46.2836;11.068400000000004
11;Everton;25;9;7;9;34;26;28;-2;47.2786;42.7041;4.5745000000000005
12;Newcastle United;25;9;6;10;33;35;36;-1;52.4165;47.5334;4.883099999999999
13;Brighton & Hove Albion;24;7;10;7;31;34;32;2;52.2913;52.1173;0.1739999999999995
14;Tottenham Hotspur;25;7;8;10;29;35;35;0;43.0715;48.8793;-5.8078
15;Crystal Palace;24;7;8;9;29;25;29;-4;50.1856;49.2212;0.9643999999999977
16;Leeds United;24;7;7;10;28;33;42;-9;51.1007;51.5954;-0.4946999999999946
17;Nottingham Forest;25;7;5;13;26;25;38;-13;47.9384;50.2006;-2.2622
18;West Ham United;25;6;5;14;23;30;48;-18;51.2913;54.5114;-3.220100000000002
19;Burnley;25;3;6;16;15;25;48;-23;51.1592;54.2604;-3.1011999999999986
20;Wolverhampton;25;1;5;19;8;15;46;-31;38.9092;45.2858;-6.376600000000003
